date,year,month,commodity,source_commodity,monthly_average_price,admin1,admin2,market,pricetype,currency,unit
2008-02-15,2008,2,Cabbage,Cabbage,30.04,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-03-15,2008,3,Cabbage,Cabbage,26.98,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-04-15,2008,4,Cabbage,Cabbage,27.41,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-05-15,2008,5,Cabbage,Cabbage,33.57,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-06-15,2008,6,Cabbage,Cabbage,48.7,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-07-15,2008,7,Cabbage,Cabbage,36.41,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-08-15,2008,8,Cabbage,Cabbage,43.47,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-09-15,2008,9,Cabbage,Cabbage,46.84,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-10-15,2008,10,Cabbage,Cabbage,38.15,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-11-15,2008,11,Cabbage,Cabbage,36.12,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2008-12-15,2008,12,Cabbage,Cabbage,38.92,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-01-15,2009,1,Cabbage,Cabbage,33.31,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-02-15,2009,2,Cabbage,Cabbage,31.52,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-03-15,2009,3,Cabbage,Cabbage,35.62,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-04-15,2009,4,Cabbage,Cabbage,37.43,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-05-15,2009,5,Cabbage,Cabbage,41.02,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-06-15,2009,6,Cabbage,Cabbage,41.16,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-07-15,2009,7,Cabbage,Cabbage,41.54,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-08-15,2009,8,Cabbage,Cabbage,44.24,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-09-15,2009,9,Cabbage,Cabbage,43.55,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
